Date,Ship,Value
2025-12-08,Ship_724,1.0
2025-12-09,Ship_724,1.0
2025-12-09,Ship_728,1.0
2025-12-10,Ship_724,1.0
2025-12-10,Ship_728,1.0
2025-12-10,Ship_721,1.0
2025-12-11,Ship_727,1.0
2025-12-11,Ship_716,1.0
2025-12-11,Ship_722,1.0
2025-12-11,Ship_719,1.0
2025-12-12,Ship_717,1.0
2025-12-12,Ship_716,1.0
2025-12-12,Ship_722,1.0
2025-12-12,Ship_719,1.0
2025-12-13,Ship_720,1.0
2025-12-13,Ship_715,1.0
2025-12-13,Ship_718,1.0
2025-12-13,Ship_723,1.0
2025-12-13,Ship_726,1.0
2025-12-14,Ship_715,1.0
2025-12-14,Ship_718,1.0
2025-12-14,Ship_725,1.0
2025-12-14,Ship_729,1.0
