Date,Ship,Value
2025-06-16,Ship_362,15028.0
2025-06-17,Ship_357,1547.0
2025-06-17,Ship_362,14309.0
2025-06-18,Ship_355,27273.5
2025-06-18,Ship_357,11000.0
2025-06-18,Ship_360,21214.0
2025-06-18,Ship_365,11426.0
2025-06-19,Ship_355,27273.5
2025-06-19,Ship_358,11000.0
2025-06-19,Ship_365,23000.0
2025-06-19,Ship_361,11757.0
2025-06-19,Ship_353,20388.0
2025-06-20,Ship_358,6821.0
2025-06-20,Ship_361,23000.0
2025-06-20,Ship_354,2501.0
2025-06-20,Ship_353,20388.0
2025-06-20,Ship_364,1293.0
2025-06-21,Ship_359,11000.0
2025-06-21,Ship_352,14138.0
2025-06-21,Ship_356,11000.0
2025-06-21,Ship_364,23000.0
2025-06-22,Ship_359,4405.0
2025-06-22,Ship_352,23000.0
2025-06-22,Ship_356,1484.0
2025-06-22,Ship_363,10680.0
