Date,Ship,Value
2025-10-14,Ship_613,1.0
2025-10-14,Ship_607,1.0
2025-10-15,Ship_610,1.0
2025-10-15,Ship_603,1.0
2025-10-16,Ship_612,1.0
2025-10-16,Ship_613,1.0
2025-10-16,Ship_608,1.0
2025-10-16,Ship_615,1.0
2025-10-16,Ship_603,1.0
2025-10-16,Ship_607,1.0
2025-10-16,Ship_604,1.0
2025-10-17,Ship_610,1.0
2025-10-17,Ship_615,1.0
2025-10-17,Ship_603,1.0
2025-10-17,Ship_607,1.0
2025-10-17,Ship_611,1.0
2025-10-17,Ship_616,1.0
2025-10-17,Ship_604,1.0
2025-10-18,Ship_612,1.0
2025-10-18,Ship_606,1.0
2025-10-18,Ship_608,1.0
2025-10-18,Ship_603,1.0
2025-10-18,Ship_617,1.0
2025-10-18,Ship_614,1.0
2025-10-18,Ship_616,1.0
2025-10-18,Ship_605,1.0
2025-10-19,Ship_606,1.0
2025-10-19,Ship_611,1.0
2025-10-19,Ship_609,1.0
