Date,Ship,Value
2025-03-03,Ship_141,1.0
2025-03-04,Ship_141,1.0
2025-03-04,Ship_138,1.0
2025-03-05,Ship_132,1.0
2025-03-05,Ship_138,1.0
2025-03-05,Ship_143,1.0
2025-03-05,Ship_140,1.0
2025-03-06,Ship_134,1.0
2025-03-06,Ship_136,1.0
2025-03-06,Ship_142,1.0
2025-03-06,Ship_145,1.0
2025-03-07,Ship_134,1.0
2025-03-07,Ship_136,1.0
2025-03-07,Ship_137,1.0
2025-03-07,Ship_142,1.0
2025-03-07,Ship_145,1.0
2025-03-08,Ship_135,1.0
2025-03-08,Ship_140,1.0
2025-03-08,Ship_133,1.0
2025-03-09,Ship_133,1.0
2025-03-09,Ship_139,1.0
2025-03-09,Ship_144,1.0
