Date,Ship,Value
2025-02-17,Ship_115,15697.0
2025-02-18,Ship_114,4124.0
2025-02-19,Ship_115,23000.0
2025-02-20,Ship_108,28158.0
2025-02-20,Ship_105,19398.0
2025-02-20,Ship_109,10607.88
2025-02-20,Ship_117,35000.0
2025-02-20,Ship_112,11000.0
2025-02-21,Ship_116,9974.0
2025-02-21,Ship_108,35000.0
2025-02-21,Ship_114,23000.0
2025-02-21,Ship_105,23000.0
2025-02-21,Ship_109,12627.12
2025-02-22,Ship_110,8169.0
2025-02-22,Ship_117,28782.0
2025-02-22,Ship_113,11000.0
2025-02-22,Ship_106,12503.0
2025-02-23,Ship_107,2439.0
2025-02-23,Ship_111,9955.0
2025-02-23,Ship_113,5700.0
2025-02-23,Ship_106,35000.0
