Date,Ship,Value
2025-07-01,Ship_383,1.0
2025-07-01,Ship_380,1.0
2025-07-03,Ship_383,1.0
2025-07-03,Ship_380,1.0
2025-07-03,Ship_388,1.0
2025-07-03,Ship_387,1.0
2025-07-04,Ship_383,1.0
2025-07-04,Ship_384,1.0
2025-07-04,Ship_381,1.0
2025-07-04,Ship_391,1.0
2025-07-05,Ship_384,1.0
2025-07-05,Ship_385,1.0
2025-07-05,Ship_381,1.0
2025-07-05,Ship_388,1.0
2025-07-05,Ship_389,1.0
2025-07-05,Ship_382,1.0
2025-07-05,Ship_387,1.0
2025-07-06,Ship_386,1.0
2025-07-06,Ship_391,1.0
2025-07-06,Ship_390,1.0
