Date,Ship,Value
2025-02-25,Ship_121,1.0
2025-02-26,Ship_131,1.0
2025-02-26,Ship_123,1.0
2025-02-26,Ship_121,1.0
2025-02-26,Ship_118,1.0
2025-02-26,Ship_125,1.0
2025-02-27,Ship_130,1.0
2025-02-27,Ship_119,1.0
2025-02-27,Ship_123,1.0
2025-02-27,Ship_128,1.0
2025-02-27,Ship_118,1.0
2025-02-27,Ship_125,1.0
2025-02-27,Ship_122,1.0
2025-02-28,Ship_125,1.0
2025-02-28,Ship_126,1.0
2025-02-28,Ship_124,1.0
2025-03-01,Ship_130,1.0
2025-03-01,Ship_119,1.0
2025-03-01,Ship_128,1.0
2025-03-01,Ship_127,1.0
2025-03-01,Ship_118,1.0
2025-03-01,Ship_125,1.0
2025-03-01,Ship_126,1.0
2025-03-01,Ship_122,1.0
2025-03-01,Ship_124,1.0
2025-03-02,Ship_129,1.0
2025-03-02,Ship_118,1.0
2025-03-02,Ship_120,1.0
