Date,Ship,Value
2025-05-12,Ship_291,8269.0
2025-05-13,Ship_291,23000.0
2025-05-13,Ship_285,10678.0
2025-05-14,Ship_281,22784.0
2025-05-14,Ship_292,5142.0
2025-05-14,Ship_288,11000.0
2025-05-15,Ship_279,12094.0
2025-05-15,Ship_286,10642.0
2025-05-15,Ship_289,9622.0
2025-05-16,Ship_293,4761.0
2025-05-16,Ship_279,35000.0
2025-05-16,Ship_283,26341.5
2025-05-16,Ship_284,11000.0
2025-05-16,Ship_289,11000.0
2025-05-17,Ship_280,9962.0
2025-05-17,Ship_283,26341.5
2025-05-17,Ship_290,23000.0
2025-05-17,Ship_294,35867.0
2025-05-17,Ship_284,5174.0
2025-05-18,Ship_282,2279.0
2025-05-18,Ship_280,11000.0
2025-05-18,Ship_290,14845.0
2025-05-18,Ship_294,35867.0
2025-05-18,Ship_287,7600.0
