Date,Ship,Value
2025-12-02,Ship_714,11997.0
2025-12-02,Ship_710,8838.0
2025-12-03,Ship_714,23000.0
2025-12-03,Ship_710,23000.0
2025-12-03,Ship_703,23000.0
2025-12-04,Ship_702,18587.0
2025-12-04,Ship_712,5454.0
2025-12-04,Ship_704,13700.0
2025-12-04,Ship_709,23000.0
2025-12-05,Ship_711,3508.0
2025-12-05,Ship_702,18587.0
2025-12-05,Ship_707,7957.5
2025-12-05,Ship_704,13700.0
2025-12-05,Ship_709,8162.0
2025-12-06,Ship_707,7957.5
2025-12-06,Ship_713,23000.0
2025-12-06,Ship_703,18717.0
2025-12-06,Ship_705,8971.0
2025-12-06,Ship_708,23000.0
2025-12-07,Ship_713,4608.0
2025-12-07,Ship_706,22583.0
2025-12-07,Ship_705,8971.0
2025-12-07,Ship_708,8861.0
