Date,Ship,Value
2025-11-17,Ship_678,1.0
2025-11-18,Ship_676,1.0
2025-11-18,Ship_679,1.0
2025-11-18,Ship_682,1.0
2025-11-19,Ship_676,1.0
2025-11-19,Ship_678,1.0
2025-11-19,Ship_688,1.0
2025-11-19,Ship_684,1.0
2025-11-20,Ship_674,1.0
2025-11-20,Ship_679,1.0
2025-11-20,Ship_688,1.0
2025-11-20,Ship_684,1.0
2025-11-21,Ship_674,1.0
2025-11-21,Ship_678,1.0
2025-11-21,Ship_683,1.0
2025-11-21,Ship_686,1.0
2025-11-22,Ship_679,1.0
2025-11-22,Ship_681,1.0
2025-11-22,Ship_675,1.0
2025-11-22,Ship_685,1.0
2025-11-22,Ship_687,1.0
2025-11-23,Ship_675,1.0
2025-11-23,Ship_680,1.0
2025-11-23,Ship_685,1.0
2025-11-23,Ship_687,1.0
