Date,Ship,Value
2025-07-15,Ship_411,1.0
2025-07-15,Ship_415,1.0
2025-07-15,Ship_418,1.0
2025-07-16,Ship_415,1.0
2025-07-17,Ship_411,1.0
2025-07-17,Ship_418,1.0
2025-07-17,Ship_407,1.0
2025-07-17,Ship_409,1.0
2025-07-17,Ship_406,1.0
2025-07-17,Ship_412,1.0
2025-07-17,Ship_417,1.0
2025-07-18,Ship_421,1.0
2025-07-18,Ship_407,1.0
2025-07-18,Ship_409,1.0
2025-07-18,Ship_406,1.0
2025-07-18,Ship_408,1.0
2025-07-18,Ship_416,1.0
2025-07-18,Ship_417,1.0
2025-07-19,Ship_419,1.0
2025-07-19,Ship_410,1.0
2025-07-19,Ship_412,1.0
2025-07-19,Ship_413,1.0
2025-07-19,Ship_416,1.0
2025-07-20,Ship_421,1.0
2025-07-20,Ship_420,1.0
2025-07-20,Ship_406,1.0
2025-07-20,Ship_408,1.0
2025-07-20,Ship_413,1.0
2025-07-20,Ship_414,1.0
