Date,Ship,Value
2025-08-05,Ship_463,1.0
2025-08-05,Ship_462,1.0
2025-08-06,Ship_463,1.0
2025-08-06,Ship_462,1.0
2025-08-06,Ship_456,1.0
2025-08-07,Ship_463,1.0
2025-08-07,Ship_464,1.0
2025-08-07,Ship_454,1.0
2025-08-08,Ship_455,1.0
2025-08-08,Ship_458,1.0
2025-08-08,Ship_465,1.0
2025-08-08,Ship_456,1.0
2025-08-09,Ship_461,1.0
2025-08-09,Ship_455,1.0
2025-08-09,Ship_458,1.0
2025-08-09,Ship_459,1.0
2025-08-09,Ship_464,1.0
2025-08-09,Ship_465,1.0
2025-08-09,Ship_453,1.0
2025-08-09,Ship_454,1.0
2025-08-09,Ship_457,1.0
2025-08-09,Ship_466,1.0
2025-08-10,Ship_459,1.0
2025-08-10,Ship_460,1.0
