Date,Ship,Value
2025-07-29,Ship_443,19955.0
2025-07-29,Ship_447,4814.0
2025-07-29,Ship_439,11000.0
2025-07-30,Ship_442,1453.0
2025-07-30,Ship_445,6994.5
2025-07-30,Ship_447,11000.0
2025-07-30,Ship_439,7163.0
2025-07-31,Ship_443,22683.0
2025-07-31,Ship_445,6994.5
2025-07-31,Ship_451,4757.0
2025-07-31,Ship_440,11000.0
2025-08-01,Ship_438,21007.0
2025-08-01,Ship_452,35000.0
2025-08-01,Ship_446,11000.0
2025-08-01,Ship_449,32529.0
2025-08-02,Ship_441,23000.0
2025-08-02,Ship_452,26205.0
2025-08-02,Ship_446,5781.0
2025-08-02,Ship_449,35000.0
2025-08-03,Ship_450,4390.0
2025-08-03,Ship_444,7878.0
2025-08-03,Ship_448,10072.0
