Date,Ship,Value
2025-07-29,Ship_443,1.0
2025-07-29,Ship_447,1.0
2025-07-29,Ship_439,1.0
2025-07-30,Ship_442,1.0
2025-07-30,Ship_445,1.0
2025-07-30,Ship_447,1.0
2025-07-30,Ship_439,1.0
2025-07-31,Ship_443,1.0
2025-07-31,Ship_445,1.0
2025-07-31,Ship_451,1.0
2025-07-31,Ship_440,1.0
2025-08-01,Ship_438,1.0
2025-08-01,Ship_452,1.0
2025-08-01,Ship_446,1.0
2025-08-01,Ship_449,1.0
2025-08-02,Ship_441,1.0
2025-08-02,Ship_452,1.0
2025-08-02,Ship_446,1.0
2025-08-02,Ship_449,1.0
2025-08-03,Ship_450,1.0
2025-08-03,Ship_444,1.0
2025-08-03,Ship_448,1.0
