Date,Ship,Value
2025-06-09,Ship_347,4851.0
2025-06-10,Ship_348,10531.0
2025-06-11,Ship_348,23000.0
2025-06-11,Ship_341,23000.0
2025-06-12,Ship_347,11000.0
2025-06-12,Ship_339,22822.0
2025-06-12,Ship_345,9247.5
2025-06-13,Ship_351,23540.0
2025-06-13,Ship_346,11000.0
2025-06-13,Ship_341,20786.0
2025-06-13,Ship_342,2300.0
2025-06-13,Ship_345,9247.5
2025-06-14,Ship_351,47000.0
2025-06-14,Ship_343,28637.0
2025-06-14,Ship_349,23000.0
2025-06-14,Ship_344,12963.0
2025-06-14,Ship_340,11000.0
2025-06-15,Ship_343,28637.0
2025-06-15,Ship_349,13943.0
2025-06-15,Ship_350,10167.0
2025-06-15,Ship_344,12963.0
2025-06-15,Ship_340,5016.0
