Date,Ship,Value
2025-02-03,Ship_81,7622.0
2025-02-04,Ship_75,6266.0
2025-02-04,Ship_84,7168.0
2025-02-05,Ship_75,11000.0
2025-02-05,Ship_82,11000.0
2025-02-05,Ship_85,3537.0
2025-02-06,Ship_76,22933.0
2025-02-06,Ship_82,8942.0
2025-02-06,Ship_87,29184.0
2025-02-06,Ship_80,6468.0
2025-02-07,Ship_76,22933.0
2025-02-07,Ship_87,35000.0
2025-02-07,Ship_83,14024.0
2025-02-07,Ship_78,35000.0
2025-02-07,Ship_80,11000.0
2025-02-08,Ship_79,12393.5
2025-02-08,Ship_74,23000.0
2025-02-08,Ship_83,23000.0
2025-02-08,Ship_78,21815.0
2025-02-09,Ship_79,12393.5
2025-02-09,Ship_74,2824.0
2025-02-09,Ship_84,23000.0
2025-02-09,Ship_77,2794.0
2025-02-09,Ship_86,6510.0
