Date,Ship,Value
2025-11-03,Ship_648,2805.0
2025-11-04,Ship_651,7411.0
2025-11-04,Ship_655,3472.0
2025-11-04,Ship_646,18228.0
2025-11-05,Ship_648,23000.0
2025-11-06,Ship_651,7425.0
2025-11-06,Ship_652,23000.0
2025-11-06,Ship_647,6500.0
2025-11-07,Ship_650,22751.0
2025-11-07,Ship_654,5552.0
2025-11-07,Ship_652,11122.0
2025-11-07,Ship_647,11000.0
2025-11-08,Ship_649,18748.0
2025-11-08,Ship_653,30275.0
2025-11-08,Ship_656,22852.0
2025-11-08,Ship_645,11000.0
2025-11-09,Ship_649,35000.0
2025-11-09,Ship_653,30275.0
2025-11-09,Ship_656,35000.0
2025-11-09,Ship_645,5527.0
