Date,Ship,Value
2025-11-10,Ship_660,1.0
2025-11-11,Ship_673,1.0
2025-11-11,Ship_657,1.0
2025-11-11,Ship_663,1.0
2025-11-11,Ship_664,1.0
2025-11-11,Ship_668,1.0
2025-11-12,Ship_660,1.0
2025-11-12,Ship_673,1.0
2025-11-12,Ship_663,1.0
2025-11-12,Ship_668,1.0
2025-11-13,Ship_670,1.0
2025-11-13,Ship_662,1.0
2025-11-13,Ship_658,1.0
2025-11-13,Ship_665,1.0
2025-11-14,Ship_670,1.0
2025-11-14,Ship_671,1.0
2025-11-14,Ship_659,1.0
2025-11-14,Ship_662,1.0
2025-11-14,Ship_666,1.0
2025-11-15,Ship_661,1.0
2025-11-15,Ship_672,1.0
2025-11-15,Ship_658,1.0
2025-11-15,Ship_667,1.0
2025-11-15,Ship_669,1.0
2025-11-16,Ship_672,1.0
2025-11-16,Ship_669,1.0
