Date,Ship,Value
2025-12-23,Ship_754,6999.0
2025-12-24,Ship_752,11000.0
2025-12-24,Ship_748,21433.0
2025-12-25,Ship_750,35000.0
2025-12-25,Ship_752,5120.0
2025-12-25,Ship_746,23000.0
2025-12-25,Ship_755,14381.0
2025-12-26,Ship_750,25405.0
2025-12-26,Ship_757,9921.0
2025-12-26,Ship_746,17129.0
2025-12-26,Ship_753,9905.0
2025-12-26,Ship_755,14381.0
2025-12-27,Ship_749,2302.0
2025-12-27,Ship_747,475.0
2025-12-27,Ship_751,9560.0
2025-12-27,Ship_756,36061.5
2025-12-27,Ship_758,30556.0
2025-12-28,Ship_747,23000.0
2025-12-28,Ship_756,36061.5
2025-12-28,Ship_758,35000.0
