Date,Ship,Value
2025-05-20,Ship_304,1.0
2025-05-20,Ship_297,1.0
2025-05-21,Ship_301,1.0
2025-05-21,Ship_304,1.0
2025-05-21,Ship_308,1.0
2025-05-21,Ship_295,1.0
2025-05-22,Ship_308,1.0
2025-05-22,Ship_295,1.0
2025-05-22,Ship_300,1.0
2025-05-22,Ship_299,1.0
2025-05-22,Ship_305,1.0
2025-05-23,Ship_308,1.0
2025-05-23,Ship_297,1.0
2025-05-23,Ship_300,1.0
2025-05-23,Ship_299,1.0
2025-05-23,Ship_305,1.0
2025-05-24,Ship_298,1.0
2025-05-24,Ship_303,1.0
2025-05-24,Ship_306,1.0
2025-05-24,Ship_296,1.0
2025-05-24,Ship_302,1.0
2025-05-25,Ship_307,1.0
2025-05-25,Ship_303,1.0
2025-05-25,Ship_296,1.0
2025-05-25,Ship_302,1.0
