Date,Factory,Product,Value
2025-05-19,Factory_1,Product_1,8033.0
2025-05-19,Factory_1,Product_2,11630.0
2025-05-19,Factory_2,Product_3,383.0
2025-05-19,Factory_2,Product_4,15526.0
2025-05-19,Factory_3,Product_5,5436.0
2025-05-19,Factory_3,Product_6,4456.0
2025-05-19,Factory_4,Product_7,6878.0
2025-05-19,Factory_4,Product_8,13966.0
2025-05-19,Factory_5,Product_10,16019.0
2025-05-19,Factory_5,Product_9,2159.0
2025-05-20,Factory_1,Product_1,16602.0
2025-05-20,Factory_2,Product_3,760.0
2025-05-20,Factory_2,Product_4,30515.0
2025-05-20,Factory_3,Product_5,12293.0
2025-05-20,Factory_3,Product_6,8291.0
2025-05-20,Factory_4,Product_7,5553.0
2025-05-20,Factory_4,Product_8,32047.0
2025-05-20,Factory_5,Product_10,26876.0
2025-05-20,Factory_5,Product_9,4415.0
2025-05-21,Factory_1,Product_1,1891.0
2025-05-21,Factory_1,Product_2,10362.0
2025-05-21,Factory_2,Product_3,1292.0
2025-05-21,Factory_2,Product_4,41192.0
2025-05-21,Factory_3,Product_5,18416.0
2025-05-21,Factory_3,Product_6,4879.0
2025-05-21,Factory_4,Product_7,7201.0
2025-05-21,Factory_4,Product_8,45380.0
2025-05-21,Factory_5,Product_10,26292.58
2025-05-21,Factory_5,Product_9,6754.0
2025-05-22,Factory_1,Product_1,7249.0
2025-05-22,Factory_1,Product_2,21356.0
2025-05-22,Factory_2,Product_3,1807.0
2025-05-22,Factory_2,Product_4,30403.0
2025-05-22,Factory_3,Product_5,10719.0
2025-05-22,Factory_3,Product_6,8907.0
2025-05-22,Factory_4,Product_7,15527.0
2025-05-22,Factory_4,Product_8,35501.0
2025-05-22,Factory_5,Product_10,10298.58
2025-05-22,Factory_5,Product_9,9150.0
2025-05-23,Factory_1,Product_1,17810.0
2025-05-23,Factory_1,Product_2,4283.0
2025-05-23,Factory_2,Product_3,2331.0
2025-05-23,Factory_2,Product_4,6939.0
2025-05-23,Factory_3,Product_5,2663.0
2025-05-23,Factory_3,Product_6,13876.0
2025-05-23,Factory_4,Product_7,24081.0
2025-05-23,Factory_4,Product_8,7304.0
2025-05-23,Factory_5,Product_10,7650.0
2025-05-23,Factory_5,Product_9,12097.0
2025-05-24,Factory_1,Product_1,14707.0
2025-05-24,Factory_1,Product_2,4887.0
2025-05-24,Factory_2,Product_3,306.0
2025-05-24,Factory_2,Product_4,7663.0
2025-05-24,Factory_3,Product_5,2930.0
2025-05-24,Factory_3,Product_6,7900.5
2025-05-24,Factory_4,Product_7,14107.5
2025-05-24,Factory_4,Product_8,8126.0
2025-05-24,Factory_5,Product_10,8225.0
2025-05-24,Factory_5,Product_9,5559.0
2025-05-25,Factory_1,Product_1,4150.0
2025-05-25,Factory_1,Product_2,5455.0
2025-05-25,Factory_2,Product_3,333.0
2025-05-25,Factory_2,Product_4,8294.0
2025-05-25,Factory_3,Product_5,3225.0
2025-05-25,Factory_3,Product_6,1987.0
2025-05-25,Factory_4,Product_7,4168.0
2025-05-25,Factory_4,Product_8,8901.0
2025-05-25,Factory_5,Product_10,8992.0
2025-05-25,Factory_5,Product_9,1677.0
