Date,Ship,Value
2025-06-03,Ship_328,1.0
2025-06-04,Ship_333,1.0
2025-06-04,Ship_334,1.0
2025-06-04,Ship_326,1.0
2025-06-04,Ship_337,1.0
2025-06-05,Ship_328,1.0
2025-06-05,Ship_331,1.0
2025-06-06,Ship_333,1.0
2025-06-06,Ship_327,1.0
2025-06-06,Ship_332,1.0
2025-06-06,Ship_326,1.0
2025-06-06,Ship_337,1.0
2025-06-06,Ship_331,1.0
2025-06-06,Ship_338,1.0
2025-06-07,Ship_332,1.0
2025-06-07,Ship_330,1.0
2025-06-07,Ship_335,1.0
2025-06-07,Ship_329,1.0
2025-06-08,Ship_327,1.0
2025-06-08,Ship_336,1.0
2025-06-08,Ship_338,1.0
2025-06-08,Ship_325,1.0
