Date,Ship,Value
2025-09-08,Ship_536,1.0
2025-09-09,Ship_539,1.0
2025-09-09,Ship_526,1.0
2025-09-09,Ship_530,1.0
2025-09-09,Ship_538,1.0
2025-09-10,Ship_541,1.0
2025-09-10,Ship_530,1.0
2025-09-10,Ship_538,1.0
2025-09-10,Ship_527,1.0
2025-09-11,Ship_536,1.0
2025-09-11,Ship_542,1.0
2025-09-11,Ship_527,1.0
2025-09-12,Ship_526,1.0
2025-09-12,Ship_534,1.0
2025-09-12,Ship_542,1.0
2025-09-12,Ship_529,1.0
2025-09-12,Ship_535,1.0
2025-09-13,Ship_540,1.0
2025-09-13,Ship_528,1.0
2025-09-13,Ship_531,1.0
2025-09-13,Ship_532,1.0
2025-09-13,Ship_535,1.0
2025-09-14,Ship_533,1.0
2025-09-14,Ship_528,1.0
2025-09-14,Ship_541,1.0
2025-09-14,Ship_531,1.0
2025-09-14,Ship_537,1.0
