Date,Ship,Value
2025-10-21,Ship_622,1.0
2025-10-21,Ship_627,1.0
2025-10-22,Ship_619,1.0
2025-10-22,Ship_625,1.0
2025-10-22,Ship_627,1.0
2025-10-23,Ship_618,1.0
2025-10-23,Ship_623,1.0
2025-10-23,Ship_628,1.0
2025-10-23,Ship_621,1.0
2025-10-24,Ship_618,1.0
2025-10-24,Ship_629,1.0
2025-10-24,Ship_628,1.0
2025-10-24,Ship_621,1.0
2025-10-25,Ship_619,1.0
2025-10-25,Ship_626,1.0
2025-10-25,Ship_630,1.0
2025-10-25,Ship_620,1.0
2025-10-26,Ship_626,1.0
2025-10-26,Ship_630,1.0
2025-10-26,Ship_624,1.0
