Date,Ship,Value
2025-09-16,Ship_551,1.0
2025-09-16,Ship_552,1.0
2025-09-17,Ship_551,1.0
2025-09-17,Ship_557,1.0
2025-09-17,Ship_544,1.0
2025-09-18,Ship_558,1.0
2025-09-18,Ship_552,1.0
2025-09-18,Ship_554,1.0
2025-09-18,Ship_557,1.0
2025-09-18,Ship_544,1.0
2025-09-18,Ship_548,1.0
2025-09-18,Ship_543,1.0
2025-09-18,Ship_547,1.0
2025-09-19,Ship_546,1.0
2025-09-19,Ship_550,1.0
2025-09-19,Ship_548,1.0
2025-09-19,Ship_547,1.0
2025-09-20,Ship_556,1.0
2025-09-20,Ship_558,1.0
2025-09-20,Ship_546,1.0
2025-09-20,Ship_550,1.0
2025-09-20,Ship_554,1.0
2025-09-20,Ship_544,1.0
2025-09-20,Ship_553,1.0
2025-09-20,Ship_543,1.0
2025-09-20,Ship_549,1.0
2025-09-21,Ship_556,1.0
2025-09-21,Ship_545,1.0
2025-09-21,Ship_544,1.0
2025-09-21,Ship_553,1.0
2025-09-21,Ship_555,1.0
