Date,Ship,Value
2025-09-16,Ship_551,5957.0
2025-09-16,Ship_552,6508.0
2025-09-17,Ship_552,11000.0
2025-09-17,Ship_557,3971.0
2025-09-17,Ship_544,23000.0
2025-09-18,Ship_558,27046.5
2025-09-18,Ship_554,23000.0
2025-09-18,Ship_548,10688.0
2025-09-18,Ship_543,12223.0
2025-09-18,Ship_547,21110.0
2025-09-19,Ship_558,27046.5
2025-09-19,Ship_546,22930.0
2025-09-19,Ship_550,10120.0
2025-09-19,Ship_554,12926.0
2025-09-19,Ship_543,23000.0
2025-09-20,Ship_556,3835.0
2025-09-20,Ship_544,19825.0
2025-09-20,Ship_553,10344.0
2025-09-20,Ship_549,1502.0
2025-09-21,Ship_545,2113.0
2025-09-21,Ship_555,23000.0
2025-09-21,Ship_549,11000.0
