Date,Ship,Value
2025-11-24,Ship_691,1.0
2025-11-24,Ship_700,1.0
2025-11-25,Ship_691,1.0
2025-11-25,Ship_700,1.0
2025-11-26,Ship_689,1.0
2025-11-27,Ship_701,1.0
2025-11-27,Ship_694,1.0
2025-11-27,Ship_697,1.0
2025-11-27,Ship_696,1.0
2025-11-28,Ship_701,1.0
2025-11-28,Ship_694,1.0
2025-11-28,Ship_692,1.0
2025-11-28,Ship_697,1.0
2025-11-28,Ship_696,1.0
2025-11-29,Ship_695,1.0
2025-11-29,Ship_690,1.0
2025-11-29,Ship_698,1.0
2025-11-30,Ship_693,1.0
2025-11-30,Ship_695,1.0
2025-11-30,Ship_690,1.0
2025-11-30,Ship_698,1.0
2025-11-30,Ship_699,1.0
