Date,Ship,Value
2025-02-10,Ship_100,17928.0
2025-02-11,Ship_98,11000.0
2025-02-12,Ship_92,5936.0
2025-02-12,Ship_100,23000.0
2025-02-12,Ship_104,23000.0
2025-02-12,Ship_88,22600.0
2025-02-13,Ship_92,23000.0
2025-02-13,Ship_94,22718.0
2025-02-13,Ship_99,18932.0
2025-02-13,Ship_90,11974.0
2025-02-13,Ship_103,23000.0
2025-02-14,Ship_101,5392.0
2025-02-14,Ship_99,18932.0
2025-02-14,Ship_90,35000.0
2025-02-14,Ship_93,9529.0
2025-02-15,Ship_102,5590.0
2025-02-15,Ship_96,7550.0
2025-02-15,Ship_93,9529.0
2025-02-15,Ship_97,11000.0
2025-02-15,Ship_89,9514.0
2025-02-16,Ship_91,2276.0
2025-02-16,Ship_95,7920.0
2025-02-16,Ship_103,11298.0
2025-02-16,Ship_89,11000.0
