Date,Ship,Value
2025-08-26,Ship_505,1.0
2025-08-27,Ship_502,1.0
2025-08-27,Ship_505,1.0
2025-08-27,Ship_509,1.0
2025-08-27,Ship_496,1.0
2025-08-27,Ship_500,1.0
2025-08-28,Ship_509,1.0
2025-08-28,Ship_497,1.0
2025-08-28,Ship_500,1.0
2025-08-28,Ship_503,1.0
2025-08-28,Ship_506,1.0
2025-08-29,Ship_507,1.0
2025-08-29,Ship_497,1.0
2025-08-29,Ship_498,1.0
2025-08-29,Ship_506,1.0
2025-08-30,Ship_501,1.0
2025-08-30,Ship_496,1.0
2025-08-30,Ship_499,1.0
2025-08-30,Ship_504,1.0
2025-08-30,Ship_508,1.0
2025-08-31,Ship_501,1.0
2025-08-31,Ship_499,1.0
2025-08-31,Ship_504,1.0
2025-08-31,Ship_508,1.0
