Date,Ship,Value
2025-09-01,Ship_519,6222.0
2025-09-02,Ship_521,5232.0
2025-09-02,Ship_513,975.0
2025-09-03,Ship_521,23000.0
2025-09-03,Ship_525,9846.0
2025-09-03,Ship_510,11000.0
2025-09-03,Ship_514,23000.0
2025-09-04,Ship_518,8406.0
2025-09-04,Ship_519,10874.0
2025-09-04,Ship_525,11000.0
2025-09-04,Ship_512,15821.0
2025-09-04,Ship_514,8556.0
2025-09-05,Ship_516,21089.0
2025-09-05,Ship_523,8746.0
2025-09-05,Ship_512,23000.0
2025-09-05,Ship_515,7069.0
2025-09-05,Ship_522,7558.0
2025-09-06,Ship_515,11000.0
2025-09-06,Ship_524,14336.0
2025-09-06,Ship_511,11000.0
2025-09-06,Ship_522,23000.0
2025-09-07,Ship_520,11000.0
2025-09-07,Ship_517,5203.0
2025-09-07,Ship_524,23000.0
2025-09-07,Ship_511,6937.0
