Date,Factory,Product,Value
2025-05-05,Factory_1,Product_1,8736.0
2025-05-05,Factory_1,Product_2,12573.0
2025-05-05,Factory_2,Product_3,462.0
2025-05-05,Factory_2,Product_4,13777.0
2025-05-05,Factory_3,Product_5,4581.0
2025-05-05,Factory_3,Product_6,3416.0
2025-05-05,Factory_4,Product_7,8005.0
2025-05-05,Factory_4,Product_8,16612.0
2025-05-05,Factory_5,Product_10,14663.0
2025-05-05,Factory_5,Product_9,2632.0
2025-05-06,Factory_1,Product_1,11854.0
2025-05-06,Factory_1,Product_2,20563.0
2025-05-06,Factory_2,Product_3,887.0
2025-05-06,Factory_2,Product_4,27934.0
2025-05-06,Factory_3,Product_5,9138.0
2025-05-06,Factory_3,Product_6,7999.0
2025-05-06,Factory_4,Product_7,16950.0
2025-05-06,Factory_4,Product_8,28583.0
2025-05-06,Factory_5,Product_10,29422.0
2025-05-06,Factory_5,Product_9,4599.0
2025-05-07,Factory_1,Product_1,10999.0
2025-05-07,Factory_1,Product_2,31016.0
2025-05-07,Factory_2,Product_4,39582.0
2025-05-07,Factory_3,Product_5,14761.0
2025-05-07,Factory_3,Product_6,3228.0
2025-05-07,Factory_4,Product_7,25754.0
2025-05-07,Factory_4,Product_8,44238.0
2025-05-07,Factory_5,Product_10,45971.0
2025-05-07,Factory_5,Product_9,6575.0
2025-05-08,Factory_1,Product_1,19945.0
2025-05-08,Factory_1,Product_2,17414.0
2025-05-08,Factory_2,Product_3,548.0
2025-05-08,Factory_2,Product_4,30391.0
2025-05-08,Factory_3,Product_5,8899.0
2025-05-08,Factory_3,Product_6,7081.0
2025-05-08,Factory_4,Product_7,33279.0
2025-05-08,Factory_4,Product_8,30620.0
2025-05-08,Factory_5,Product_10,36788.0
2025-05-08,Factory_5,Product_9,8833.0
2025-05-09,Factory_1,Product_1,27151.0
2025-05-09,Factory_1,Product_2,2937.0
2025-05-09,Factory_2,Product_3,1032.0
2025-05-09,Factory_2,Product_4,38523.0
2025-05-09,Factory_3,Product_5,3989.0
2025-05-09,Factory_3,Product_6,10750.0
2025-05-09,Factory_4,Product_7,38101.0
2025-05-09,Factory_4,Product_8,9211.0
2025-05-09,Factory_5,Product_10,6923.0
2025-05-09,Factory_5,Product_9,10960.0
2025-05-10,Factory_1,Product_1,26592.0
2025-05-10,Factory_1,Product_2,3598.0
2025-05-10,Factory_2,Product_3,1062.0
2025-05-10,Factory_2,Product_4,16106.0
2025-05-10,Factory_3,Product_5,3591.0
2025-05-10,Factory_3,Product_6,10956.0
2025-05-10,Factory_4,Product_7,21895.0
2025-05-10,Factory_4,Product_8,9865.0
2025-05-10,Factory_5,Product_10,7647.0
2025-05-10,Factory_5,Product_9,11055.0
2025-05-11,Factory_1,Product_1,4075.0
2025-05-11,Factory_1,Product_2,4220.0
2025-05-11,Factory_2,Product_3,1084.0
2025-05-11,Factory_2,Product_4,8933.0
2025-05-11,Factory_3,Product_5,3892.0
2025-05-11,Factory_3,Product_6,2380.0
2025-05-11,Factory_4,Product_7,5535.0
2025-05-11,Factory_4,Product_8,10549.0
2025-05-11,Factory_5,Product_10,8357.0
2025-05-11,Factory_5,Product_9,1369.0
