Date,Ship,Value
2025-05-06,Ship_266,4238.0
2025-05-07,Ship_266,11000.0
2025-05-07,Ship_274,8074.0
2025-05-07,Ship_268,1424.0
2025-05-08,Ship_267,21315.0
2025-05-08,Ship_271,11000.0
2025-05-08,Ship_276,32975.0
2025-05-08,Ship_278,23962.0
2025-05-08,Ship_269,23000.0
2025-05-09,Ship_272,11000.0
2025-05-09,Ship_267,23000.0
2025-05-09,Ship_276,32975.0
2025-05-09,Ship_278,47000.0
2025-05-09,Ship_269,5677.0
2025-05-10,Ship_275,16610.0
2025-05-10,Ship_270,23000.0
2025-05-10,Ship_271,705.0
2025-05-10,Ship_265,950.0
2025-05-11,Ship_273,8757.0
2025-05-11,Ship_275,16610.0
2025-05-11,Ship_277,9792.0
2025-05-11,Ship_270,7701.0
2025-05-11,Ship_265,23000.0
