Date,Ship,Value
2025-07-07,Ship_401,1.0
2025-07-08,Ship_400,1.0
2025-07-08,Ship_393,1.0
2025-07-09,Ship_398,1.0
2025-07-09,Ship_392,1.0
2025-07-09,Ship_402,1.0
2025-07-10,Ship_400,1.0
2025-07-10,Ship_393,1.0
2025-07-10,Ship_396,1.0
2025-07-10,Ship_404,1.0
2025-07-10,Ship_399,1.0
2025-07-11,Ship_392,1.0
2025-07-11,Ship_396,1.0
2025-07-11,Ship_402,1.0
2025-07-11,Ship_405,1.0
2025-07-11,Ship_399,1.0
2025-07-12,Ship_394,1.0
2025-07-12,Ship_405,1.0
2025-07-13,Ship_394,1.0
2025-07-13,Ship_397,1.0
2025-07-13,Ship_395,1.0
2025-07-13,Ship_403,1.0
