Date,Ship,Value
2025-07-07,Ship_401,5876.0
2025-07-08,Ship_400,8065.0
2025-07-08,Ship_393,8017.0
2025-07-09,Ship_398,10783.0
2025-07-09,Ship_392,11000.0
2025-07-09,Ship_402,35000.0
2025-07-10,Ship_400,11000.0
2025-07-10,Ship_393,11000.0
2025-07-10,Ship_396,20120.0
2025-07-10,Ship_404,5115.0
2025-07-10,Ship_399,5892.0
2025-07-11,Ship_392,7368.0
2025-07-11,Ship_396,35000.0
2025-07-11,Ship_402,31824.0
2025-07-11,Ship_405,35000.0
2025-07-11,Ship_399,11000.0
2025-07-12,Ship_394,19140.0
2025-07-12,Ship_405,27070.0
2025-07-13,Ship_394,23000.0
2025-07-13,Ship_397,10533.0
2025-07-13,Ship_395,2250.0
2025-07-13,Ship_403,4532.0
