Date,Ship,Value
2025-10-28,Ship_639,14612.0
2025-10-28,Ship_632,6582.0
2025-10-28,Ship_636,8124.0
2025-10-29,Ship_638,11000.0
2025-10-29,Ship_632,11000.0
2025-10-29,Ship_636,11000.0
2025-10-29,Ship_641,1458.0
2025-10-30,Ship_638,3765.0
2025-10-30,Ship_639,10055.0
2025-10-30,Ship_633,2394.0
2025-10-30,Ship_644,25400.0
2025-10-31,Ship_635,6220.0
2025-10-31,Ship_641,23000.0
2025-10-31,Ship_633,23000.0
2025-10-31,Ship_644,35000.0
2025-11-01,Ship_631,23000.0
2025-11-01,Ship_635,23000.0
2025-11-01,Ship_637,22278.0
2025-11-01,Ship_643,4603.0
2025-11-01,Ship_640,23000.0
2025-11-02,Ship_631,13800.0
2025-11-02,Ship_642,3679.0
2025-11-02,Ship_640,15621.0
