Date,Ship,Value
2025-10-28,Ship_639,1.0
2025-10-28,Ship_632,1.0
2025-10-28,Ship_636,1.0
2025-10-29,Ship_638,1.0
2025-10-29,Ship_632,1.0
2025-10-29,Ship_636,1.0
2025-10-29,Ship_641,1.0
2025-10-30,Ship_638,1.0
2025-10-30,Ship_639,1.0
2025-10-30,Ship_633,1.0
2025-10-30,Ship_644,1.0
2025-10-31,Ship_635,1.0
2025-10-31,Ship_641,1.0
2025-10-31,Ship_633,1.0
2025-10-31,Ship_644,1.0
2025-11-01,Ship_631,1.0
2025-11-01,Ship_635,1.0
2025-11-01,Ship_637,1.0
2025-11-01,Ship_643,1.0
2025-11-01,Ship_640,1.0
2025-11-02,Ship_631,1.0
2025-11-02,Ship_642,1.0
2025-11-02,Ship_640,1.0
