Date,Ship,Value
2025-03-10,Ship_146,9543.0
2025-03-11,Ship_161,10983.0
2025-03-11,Ship_154,11000.0
2025-03-11,Ship_147,10317.0
2025-03-12,Ship_161,23000.0
2025-03-12,Ship_154,4109.0
2025-03-12,Ship_156,21511.0
2025-03-12,Ship_151,23000.0
2025-03-12,Ship_148,4341.0
2025-03-13,Ship_155,11000.0
2025-03-13,Ship_146,16311.0
2025-03-13,Ship_162,3881.0
2025-03-13,Ship_151,2527.0
2025-03-13,Ship_158,47000.0
2025-03-14,Ship_155,6631.0
2025-03-14,Ship_147,7907.0
2025-03-14,Ship_150,2503.0
2025-03-14,Ship_162,23000.0
2025-03-14,Ship_158,22289.0
2025-03-15,Ship_153,10534.0
2025-03-15,Ship_159,4249.0
2025-03-15,Ship_152,2996.0
2025-03-15,Ship_148,23000.0
2025-03-15,Ship_157,1813.0
2025-03-16,Ship_152,23000.0
2025-03-16,Ship_157,11000.0
2025-03-16,Ship_160,6339.0
2025-03-16,Ship_149,23000.0
