Date,Ship,Value
2025-01-21,Ship_55,19985.0
2025-01-21,Ship_43,8379.0
2025-01-21,Ship_51,9104.0
2025-01-21,Ship_49,22832.0
2025-01-22,Ship_43,11000.0
2025-01-22,Ship_54,23000.0
2025-01-22,Ship_58,17418.0
2025-01-23,Ship_52,11000.0
2025-01-23,Ship_54,19628.0
2025-01-23,Ship_58,23000.0
2025-01-23,Ship_45,11000.0
2025-01-23,Ship_48,7168.0
2025-01-24,Ship_52,6296.0
2025-01-24,Ship_53,23000.0
2025-01-24,Ship_56,6102.0
2025-01-24,Ship_45,9032.0
2025-01-24,Ship_48,23000.0
2025-01-25,Ship_50,11000.0
2025-01-25,Ship_53,8314.0
2025-01-25,Ship_59,23000.0
2025-01-25,Ship_46,23000.0
2025-01-26,Ship_50,4741.0
2025-01-26,Ship_55,11182.0
2025-01-26,Ship_44,22868.0
2025-01-26,Ship_47,2464.0
2025-01-26,Ship_57,4921.0
