Date,Ship,Value
2025-04-29,Ship_261,1.0
2025-04-29,Ship_253,1.0
2025-04-29,Ship_257,1.0
2025-04-30,Ship_261,1.0
2025-04-30,Ship_253,1.0
2025-05-01,Ship_262,1.0
2025-05-01,Ship_252,1.0
2025-05-01,Ship_256,1.0
2025-05-02,Ship_262,1.0
2025-05-02,Ship_264,1.0
2025-05-02,Ship_258,1.0
2025-05-02,Ship_252,1.0
2025-05-02,Ship_256,1.0
2025-05-03,Ship_260,1.0
2025-05-03,Ship_264,1.0
2025-05-03,Ship_254,1.0
2025-05-03,Ship_259,1.0
2025-05-04,Ship_255,1.0
2025-05-04,Ship_260,1.0
2025-05-04,Ship_254,1.0
2025-05-04,Ship_259,1.0
2025-05-04,Ship_263,1.0
