Date,Ship,Value
2025-01-14,Ship_32,1.0
2025-01-14,Ship_42,1.0
2025-01-15,Ship_29,1.0
2025-01-15,Ship_34,1.0
2025-01-16,Ship_32,1.0
2025-01-16,Ship_42,1.0
2025-01-16,Ship_28,1.0
2025-01-16,Ship_41,1.0
2025-01-16,Ship_38,1.0
2025-01-17,Ship_34,1.0
2025-01-17,Ship_35,1.0
2025-01-17,Ship_31,1.0
2025-01-18,Ship_30,1.0
2025-01-18,Ship_35,1.0
2025-01-18,Ship_39,1.0
2025-01-18,Ship_28,1.0
2025-01-18,Ship_41,1.0
2025-01-18,Ship_31,1.0
2025-01-18,Ship_37,1.0
2025-01-18,Ship_33,1.0
2025-01-18,Ship_36,1.0
2025-01-18,Ship_38,1.0
2025-01-19,Ship_39,1.0
2025-01-19,Ship_40,1.0
