Date,Factory,Product,Value
2025-01-13,Factory_1,Product_2,8427.0
2025-01-13,Factory_2,Product_3,482.0
2025-01-13,Factory_2,Product_4,11586.0
2025-01-13,Factory_3,Product_5,5124.0
2025-01-13,Factory_3,Product_6,2945.0
2025-01-13,Factory_4,Product_7,7736.0
2025-01-13,Factory_4,Product_8,15728.0
2025-01-13,Factory_5,Product_10,15664.0
2025-01-13,Factory_5,Product_9,2025.0
2025-01-14,Factory_1,Product_1,2225.0
2025-01-14,Factory_1,Product_2,16323.0
2025-01-14,Factory_2,Product_3,925.0
2025-01-14,Factory_2,Product_4,809.0
2025-01-14,Factory_3,Product_5,11971.0
2025-01-14,Factory_3,Product_6,6002.0
2025-01-14,Factory_4,Product_7,14372.0
2025-01-14,Factory_4,Product_8,30892.0
2025-01-14,Factory_5,Product_10,26287.0
2025-01-14,Factory_5,Product_9,3940.0
2025-01-15,Factory_1,Product_1,10742.0
2025-01-15,Factory_1,Product_2,25492.0
2025-01-15,Factory_2,Product_3,1438.0
2025-01-15,Factory_2,Product_4,7588.0
2025-01-15,Factory_3,Product_5,12007.0
2025-01-15,Factory_3,Product_6,8648.0
2025-01-15,Factory_4,Product_7,22325.0
2025-01-15,Factory_4,Product_8,47128.0
2025-01-15,Factory_5,Product_10,18056.0
2025-01-15,Factory_5,Product_9,6634.0
2025-01-16,Factory_1,Product_1,16219.0
2025-01-16,Factory_1,Product_2,36606.0
2025-01-16,Factory_2,Product_3,1928.0
2025-01-16,Factory_2,Product_4,21721.0
2025-01-16,Factory_3,Product_5,6939.0
2025-01-16,Factory_3,Product_6,12484.0
2025-01-16,Factory_4,Product_7,30493.0
2025-01-16,Factory_4,Product_8,28743.0
2025-01-16,Factory_5,Product_10,14816.0
2025-01-16,Factory_5,Product_9,9210.0
2025-01-17,Factory_1,Product_1,3619.0
2025-01-17,Factory_1,Product_2,47870.0
2025-01-17,Factory_2,Product_3,201.0
2025-01-17,Factory_2,Product_4,33163.0
2025-01-17,Factory_3,Product_5,1966.0
2025-01-17,Factory_3,Product_6,15666.0
2025-01-17,Factory_4,Product_7,39008.0
2025-01-17,Factory_4,Product_8,6923.0
2025-01-17,Factory_5,Product_10,7021.0
2025-01-17,Factory_5,Product_9,11386.0
2025-01-18,Factory_1,Product_1,4049.0
2025-01-18,Factory_1,Product_2,25415.0
2025-01-18,Factory_2,Product_3,235.0
2025-01-18,Factory_2,Product_4,10801.0
2025-01-18,Factory_3,Product_5,2254.0
2025-01-18,Factory_3,Product_6,12425.0
2025-01-18,Factory_4,Product_7,16461.0
2025-01-18,Factory_4,Product_8,7841.0
2025-01-18,Factory_5,Product_10,7606.0
2025-01-18,Factory_5,Product_9,5288.0
2025-01-19,Factory_1,Product_1,4461.0
2025-01-19,Factory_1,Product_2,5970.0
2025-01-19,Factory_2,Product_3,268.0
2025-01-19,Factory_2,Product_4,5776.0
2025-01-19,Factory_3,Product_5,2561.0
2025-01-19,Factory_3,Product_6,1636.0
2025-01-19,Factory_4,Product_7,4847.0
2025-01-19,Factory_4,Product_8,8773.0
2025-01-19,Factory_5,Product_10,8250.0
2025-01-19,Factory_5,Product_9,1219.0
